EpochsDir,Dataset,Model,Strategy,TestAccuracy,TestLoss,BestEpoch,BestValAcc
matrix_results_35epochs,SVHN,MLP,ADAS WSL,0.7959050399508297,0.6903783858698957,33,0.8254163254163254
matrix_results_35epochs,SVHN,MLP,BASELINE,0.7931007990165949,0.6964167861961851,35,0.8214578214578214
matrix_results_35epochs,SVHN,MLP,CONSISTENCY,0.7915642286416718,0.729275174000684,33,0.8266448266448266
matrix_results_35epochs,SVHN,MLP,CO TRAINING,0.7854947756607252,0.7327532156133184,33,0.8247338247338247
matrix_results_35epochs,SVHN,MLP,PSEUDO LABELING,0.7967885679164106,0.7129649647018489,33,0.8295113295113296
matrix_results_35epochs,SVHN,RESNET,ADAS WSL,0.9441840811309158,0.31057139423986274,21,0.9458094458094458
matrix_results_35epochs,SVHN,RESNET,BASELINE,0.9422249539028887,0.2964390218988353,14,0.9436254436254436
matrix_results_35epochs,SVHN,RESNET,CONSISTENCY,0.9439151813153043,0.3443508262280375,26,0.9447174447174447
matrix_results_35epochs,SVHN,RESNET,CO TRAINING,0.9410725261216963,0.21440949289164707,5,0.938984438984439
matrix_results_35epochs,SVHN,RESNET,PSEUDO LABELING,0.9393438844499078,0.24635027440301344,8,0.9413049413049414
matrix_results_35epochs,SVHN,SIMPLE CNN,ADAS WSL,0.9325061462814997,0.30808544867471155,16,0.9331149331149331
matrix_results_35epochs,SVHN,SIMPLE CNN,BASELINE,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_35epochs,SVHN,SIMPLE CNN,CONSISTENCY,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_35epochs,SVHN,SIMPLE CNN,CO TRAINING,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_35epochs,SVHN,SIMPLE CNN,PSEUDO LABELING,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
